%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
31.0, -111366.27034738903, -131372.89212618972, -183806.4859874828, -184564.74656638462, -185084.82695637073, -131147.87711475816, -159727.48812764743, -183808.20707180587, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428903092E9, 0.0, 2025-02-06 17:37:08.903
32.0, -111443.83090064894, -131435.54406589796, -183738.73785003877, -184497.02078068507, -185020.02924919478, -131265.491994082, -159900.6023884538, -183949.6265589746, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428907133E9, 0.0, 2025-02-06 17:37:08.907
33.0, -111512.22723868219, -131489.65763922426, -183792.44909196487, -184422.2765472265, -184947.76605937077, -131373.003884912, -160065.24533811156, -184094.5552700228, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428912131E9, 0.0, 2025-02-06 17:37:08.912
34.0, -111588.35728029696, -131551.66137834327, -183819.71822020033, -184353.52258128198, -184882.387206839, -131488.36123804585, -160237.2643634396, -184273.81626055436, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.73888142891617E9, 0.0, 2025-02-06 17:37:08.916
35.0, -111676.31139472859, -131624.97510015668, -183758.5191438817, -184293.9104788197, -184826.55254918966, -131614.3133180515, -160426.58363897607, -184608.35481981694, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428920203E9, 0.0, 2025-02-06 17:37:08.920
36.0, -111769.69698306287, -131704.12262727294, -183725.32680336558, -184238.8357804818, -184775.07648170908, -131747.17208709384, -160630.11862398608, -184695.7948441261, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428923185E9, 0.0, 2025-02-06 17:37:08.923
37.0, -111860.71328648488, -131780.0962066765, -183805.25664153777, -184181.41414897612, -184721.56640548306, -131877.95214390184, -160832.89364968464, -184639.46844809872, 0.012, 0.062, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428927217E9, 0.0, 2025-02-06 17:37:08.927
38.0, -111958.25629928784, -131862.26121929422, -183789.78923437468, -184130.07219196227, -184674.00189328217, -132014.3648403126, -161042.93299233116, -184588.2158980627, 0.012, 0.058, 0.982, 192.0, 0.0, 96.0, 1.0, 208.0, 30.0, 176.0, 0.0, 0.0, 0.0, 1.738881428931207E9, 0.0, 2025-02-06 17:37:08.931
39.0, -112057.43098943603, -131946.97433077983, -183734.5133703367, -184079.1549180931, -184626.571491548, -132150.6881297455, -161254.2016809227, -184537.54449338253, 0.012, 0.058, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428935221E9, 0.0, 2025-02-06 17:37:08.935
40.0, -112152.15768243762, -132025.45130556243, -183710.48524504725, -184023.8343505662, -184574.7154444117, -132282.965753432, -161459.83772991155, -184481.75453922208, 0.012, 0.058, 0.982, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.738881428939275E9, 0.0, 2025-02-06 17:37:08.939
