%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
62.0, -19957.202071810018, -20112.88197194123, -14757.582814405301, -1431.09279049549, -4901.044654970724, -7775.143715756383, -3103.4726623860197, -2876.4906974423766, -20076.739201157, -8706.563258953483, 3660.2993202566295, 2768.7105856788858, 4190.750919669977, -4756.451220089343, 2513.587774466011, 4570.842334132473, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197377083E9, 0.0, 2025-02-13 18:43:17.377
64.0, -19971.887167917153, -20127.991751193018, -14769.406887222158, -1440.5028749111743, -4916.109730733601, -7791.0358060641065, -3112.7039328460614, -2882.4139097230327, -20118.000521421494, -8731.0607708765, 3667.8095063936125, 2754.919559349961, 4159.637291388189, -4784.6144181030295, 2508.759797663665, 4669.324120202556, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197385124E9, 0.0, 2025-02-13 18:43:17.385
66.0, -19958.587879966246, -20114.424242308647, -14759.549767917368, -1434.1996829747777, -4902.16224219349, -7774.450811678268, -3110.3122961893437, -2874.9037235860496, -20085.366974516746, -8718.543793981527, 3650.017517807188, 2766.698928677908, 4191.801451659376, -4756.071240433603, 2505.719960417743, 4587.5614389850425, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197394133E9, 0.0, 2025-02-13 18:43:17.394
68.0, -19977.51980751989, -20130.428091338646, -14773.564311690845, -1442.1122005119564, -4923.038771514746, -7795.550858444079, -3115.006162524958, -2886.794851636273, -20115.832402209333, -8731.418398787786, 3665.2167040367967, 2756.283015761735, 4156.932730309097, -4785.329673925599, 2510.1903093088044, 4653.700250828297, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197401215E9, 0.0, 2025-02-13 18:43:17.401
70.0, -19953.04464734133, -20108.16575386116, -14754.721791115022, -1433.5738341300291, -4901.044654970724, -7771.500381410168, -3106.557203120852, -2873.763784618829, -20086.238692550505, -8715.861584646891, 3652.766782375191, 2769.4705449903663, 4191.466175492546, -4753.120810165502, 2510.9949721091953, 4590.735386697696, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197409178E9, 0.0, 2025-02-13 18:43:17.409
72.0, -19975.552854007823, -20129.198745393605, -14769.317480244337, -1436.0101742756576, -4924.558690137707, -7795.68496891081, -3108.0994734882684, -2884.1349940460914, -20113.440765552612, -8723.125901594865, 3663.205047035819, 2756.1712570394584, 4158.2961867208705, -4780.322883167611, 2489.82787011002, 4650.526303115643, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.73949019741726E9, 0.0, 2025-02-13 18:43:17.417
74.0, -19956.017429353888, -20108.25516083898, -14762.477846441014, -1439.608805132962, -4898.4295008694535, -7769.041689520084, -3115.095569502779, -2871.483906684388, -20090.17259957464, -8711.81591890048, 3655.1584190319086, 2769.604655457098, 4190.147422569683, -4755.154818910935, 2528.652850228888, 4601.643037991887, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197426342E9, 0.0, 2025-02-13 18:43:17.426
76.0, -19981.699583733032, -20137.021855952964, -14777.833494881808, -1434.4008486748755, -4929.006687284314, -7804.40214924838, -3116.1237497477237, -2888.448880725966, -20111.965550418565, -8726.72453245217, 3665.7084424148134, 2764.5978646991093, 4169.293244992882, -4774.265560420223, 2507.9551348632735, 4658.818800308562, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197433289E9, 0.0, 2025-02-13 18:43:17.433
78.0, -19949.401312995116, -20107.07051838285, -14755.928785315607, -1434.7137730972497, -4894.987332223336, -7768.684061608799, -3105.7972438093716, -2870.120450272614, -20096.766364188956, -8719.147291081821, 3654.7784393761685, 2765.4025274995006, 4182.681939921611, -4763.916702737415, 2507.821024396542, 4591.584752986998, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197441387E9, 0.0, 2025-02-13 18:43:17.441
80.0, -19988.516865791902, -20142.095701944316, -14785.16486706315, -1439.4523429217747, -4933.231166986367, -7809.49834698419, -3115.14027299169, -2891.891049372083, -20114.08896614182, -8721.315410293986, 3664.9037796144225, 2764.1508298100034, 4163.705308879055, -4781.552229112653, 2508.3127627745585, 4629.985049961216, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197449495E9, 0.0, 2025-02-13 18:43:17.449
82.0, -19951.815301396287, -20102.80133519189, -14761.717887129533, -1438.6029766324732, -4887.767718764272, -7764.079602251006, -3111.3851799231984, -2869.539304916776, -20100.186181090616, -8722.25418356111, 3660.925169101378, 2766.3636525110787, 4178.770384641932, -4772.365662141521, 2509.698570930788, 4611.902488696872, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197457405E9, 0.0, 2025-02-13 18:43:17.457
84.0, -19986.594615768747, -20138.452367598104, -14780.716869916543, -1433.9761655302245, -4926.6597541165065, -7807.218469049749, -3117.5542613928633, -2889.5888196931865, -20113.329006830336, -8727.484491763651, 3666.5578087041154, 2770.3646147685786, 4173.897704350675, -4779.987607000781, 2503.887117372408, 4639.484541354721, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197465536E9, 0.0, 2025-02-13 18:43:17.465
86.0, -19948.66370542809, -20099.73914620151, -14757.895738827676, -1440.2346539777106, -4888.281808886744, -7758.335203925992, -3105.7748920649165, -2870.478078183899, -20104.5447712594, -8725.137558595843, 3664.5461517031376, 2763.3685187540673, 4168.756803125954, -4782.155726212946, 2518.616916968455, 4608.080340395015, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197473486E9, 0.0, 2025-02-13 18:43:17.473
88.0, -19986.460505302013, -20137.13361467524, -14779.152247804672, -1437.351278942976, -4930.325440207176, -7801.451718980279, -3113.486243901997, -2890.2370202823904, -20105.483544526523, -8717.806186414504, 3665.3284627590733, 2769.247027545813, 4170.075556048818, -4777.774784299706, 2511.1514343203826, 4615.814043976551, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197482505E9, 0.0, 2025-02-13 18:43:17.482
90.0, -19948.954278106008, -20100.968492146552, -14757.135779516195, -1439.2735289661323, -4888.34886412011, -7757.1058579809505, -3109.0382467553914, -2869.1146217721252, -20110.78090796243, -8728.289154564041, 3661.863942368501, 2759.769887896763, 4165.448744946569, -4783.474479135809, 2509.9667918642513, 4642.2114541782685, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197488622E9, 0.0, 2025-02-13 18:43:17.488
92.0, -19976.491627274947, -20129.869297727266, -14769.406887222158, -1426.9800695157135, -4922.92701279247, -7795.193230532794, -3110.111130489246, -2885.409043480044, -20103.941274159108, -8722.991791128134, 3653.43733470885, 2765.938969366428, 4172.847172361276, -4779.786441300684, 2485.558686919056, 4599.094939123981, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197497569E9, 0.0, 2025-02-13 18:43:17.497
94.0, -19956.106836331706, -20106.93640791612, -14765.852959853764, -1445.9790523027245, -4895.568477579174, -7766.627701118911, -3113.977982280014, -2872.221514251413, -20122.4485185681, -8729.362038297897, 3661.3498522460286, 2756.1712570394584, 4158.497352420968, -4787.7213105823175, 2515.174748322338, 4638.635175065419, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197505724E9, 0.0, 2025-02-13 18:43:17.505
96.0, -19982.079563388776, -20132.462100084078, -14778.30288151537, -1436.0772295090235, -4924.089303504146, -7794.634436921411, -3115.788473580894, -2885.7443196468735, -20100.007367134975, -8722.611811472394, 3653.2138172642967, 2773.7173764368745, 4185.788832400898, -4765.526028338198, 2512.000800609684, 4614.070607909037, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197513657E9, 0.0, 2025-02-13 18:43:17.513
98.0, -19954.832786897754, -20106.489373027012, -14760.667355140133, -1442.3133662120542, -4895.7249397903615, -7762.939663283785, -3105.7748920649165, -2871.215685750924, -20119.006349921983, -8731.083122620956, 3660.0981545565314, 2756.64064367302, 4156.843323331275, -4790.09059549458, 2509.743274419698, 4653.744954317207, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197521827E9, 0.0, 2025-02-13 18:43:17.521
100.0, -19971.61894698369, -20124.907210458186, -14768.870445355231, -1427.3376974269984, -4917.473187145375, -7785.49257343919, -3108.61356361074, -2882.7268341454073, -20089.747916429988, -8715.369846268875, 3649.05639279561, 2771.0128153577825, 4190.393291758692, -4754.506618321731, 2496.2875242576033, 4612.036599163604, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197529833E9, 0.0, 2025-02-13 18:43:17.529
102.0, -19956.84444389873, -20112.300826585393, -14761.896701085176, -1439.541749899596, -4900.508213103797, -7766.381831929903, -3103.338551919288, -2873.85319159665, -20119.16281213317, -8730.703142965216, 3660.433430723361, 2755.6571669169866, 4156.8880268201865, -4787.810717560139, 2505.6305534399216, 4656.270701440657, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197537769E9, 0.0, 2025-02-13 18:43:17.537
104.0, -19975.08346737426, -20127.41060583718, -14772.804352379366, -1433.7526480856716, -4916.243841200333, -7781.5363146706, -3109.0158950109358, -2882.2350957673902, -20080.941329114597, -8712.754692167604, 3651.470381196783, 2775.3267020376566, 4191.980265615019, -4755.3783363554885, 2502.97069584974, 4589.684854708297, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197545878E9, 0.0, 2025-02-13 18:43:17.545
106.0, -19970.277842316373, -20120.325102844847, -14774.950119847075, -1445.7555348581714, -4904.196250938922, -7772.036823277095, -3113.977982280014, -2876.75891837584, -20118.961646433076, -8732.044247632533, 3670.5140674727045, 2761.1780477974476, 4156.820971586821, -4790.4258716614095, 2523.9589838932734, 4671.402832436899, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197552901E9, 0.0, 2025-02-13 18:43:17.552
108.0, -19967.841502170744, -20115.832402209333, -14769.317480244337, -1430.8469213064816, -4908.286620174244, -7774.651977378367, -3108.7253223330167, -2878.1894300209797, -20084.048221593886, -8717.381503269853, 3651.6268434079702, 2775.3714055265673, 4197.121166839739, -4748.426943829888, 2495.4381579683018, 4606.493366538688, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197560874E9, 0.0, 2025-02-13 18:43:17.560
110.0, -19970.926042905576, -20122.06853891236, -14773.988994835496, -1444.6602993798613, -4911.885251031548, -7775.031957034106, -3109.9546682780588, -2881.2069155224463, -20122.359111590282, -8721.53892773854, 3678.9406751323554, 2755.7465738948076, 4142.426448157603, -4799.478328165809, 2520.5838704805224, 4649.296957170601, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197569972E9, 0.0, 2025-02-13 18:43:17.569
112.0, -19967.975612637474, -20121.01800692296, -14767.663451154644, -1436.0548777645681, -4909.270096930278, -7772.483858166202, -3107.9877147659918, -2878.7929271212734, -20087.132762328718, -8709.737206666137, 3660.634596423459, 2777.6512834610085, 4196.78589067291, -4750.2150833863125, 2527.065876372561, 4613.400055575377, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197577956E9, 0.0, 2025-02-13 18:43:17.577
114.0, -19971.104856861217, -20125.153079647192, -14767.037602309896, -1438.670031865839, -4916.981448767358, -7782.005701304162, -3107.205403710056, -2882.883296356594, -20119.811012722377, -8732.49128252164, 3676.504334986727, 2761.9156553644725, 4157.804448342854, -4786.380205914999, 2517.007591367673, 4676.007291794693, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197585036E9, 0.0, 2025-02-13 18:43:17.585
116.0, -19952.9105368746, -20109.37274806175, -14749.62559337921, -1427.8294358050152, -4902.519870104775, -7766.650052863366, -3098.7117408170393, -2874.099060785659, -20082.617709948747, -8719.594325970927, 3655.4713434542828, 2774.0526526037042, 4198.417568018147, -4742.771952482695, 2498.1650707918493, 4607.119215383436, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197592995E9, 0.0, 2025-02-13 18:43:17.592
118.0, -19967.930909148563, -20123.54375404641, -14757.269889982927, -1430.5563486285625, -4920.065989502191, -7785.358462972458, -3100.8798600292043, -2881.8104126227395, -20119.118108644263, -8733.519462766584, 3670.312901772607, 2756.9535680953945, 4150.003689527952, -4793.868040307527, 2483.8599543404525, 4649.945157759805, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.739490197602039E9, 0.0, 2025-02-13 18:43:17.602
